id,inventory_number,collection_name,inventory_name,inventory_id,inventory_uuid,inventory_extra,image_uuid,image_iiif
73e7df4e-3cb7-5ed0-9faa-5738ccd53490,NL-HaNA_4.AANW_0057,4.AANW,,57,,,,https://service.archief.nl/iipsrv?IIIF=/f9/64/f5/62/98/00/43/b4/9c/ab/3f/e9/b4/05/69/db/d5f7a5d8-4255-44b1-8f0b-3362dddacb21.jp2/full/full/0/default.jpg
01a668b7-2ce2-5b91-950f-7f1a0dd2160a,NL-HaNA_4.AANW_0127,4.AANW,,127,,,,https://service.archief.nl/iipsrv?IIIF=/b5/9c/6f/49/e1/13/42/65/84/ea/a0/ca/df/8d/f4/3e/f600eae9-9a1b-42eb-9eb7-2ad0befa69fa.jp2/full/full/0/default.jpg
e47a6a59-fa74-55f4-bdc0-fb3f39af2412,NL-HaNA_4.AANW_1192,4.AANW,,1192,,,,https://service.archief.nl/iipsrv?IIIF=/a2/d8/e2/e5/8d/08/41/9b/82/02/ec/60/fb/e2/e0/cb/1ab563b2-6140-4e0e-b1f8-98d8c972ff71.jp2/full/full/0/default.jpg
bedd09ba-bb3c-535f-acef-3f8f8ea8c8bd,NL-HaNA_4.AANW_1213,4.AANW,,1213,,,,https://service.archief.nl/iipsrv?IIIF=/3e/79/92/c1/57/41/4c/b2/ae/2d/42/1a/dc/ed/03/27/71e12429-c73c-4baa-b015-e358497387d7.jp2/full/full/0/default.jpg
83ee592e-447e-5321-b424-49ee07d3de8e,NL-HaNA_4.AANW_1420,4.AANW,,1420,,,,https://service.archief.nl/iipsrv?IIIF=/c2/8e/cc/61/e2/74/4b/c9/9d/cf/f0/e5/2a/62/9c/33/1f6dd9c5-7a7c-4efc-8ec2-7eab076f57f6.jp2/full/full/0/default.jpg
9c98f65f-f172-5b71-b5b8-0823ed9113e9,NL-HaNA_4.AANW_1558,4.AANW,,1558,,,,https://service.archief.nl/iipsrv?IIIF=/9b/b2/15/b6/39/74/4f/d5/a2/3f/8d/03/76/c3/fa/cf/c5185e30-40de-4a8e-a2ba-ffde79c7e693.jp2/full/full/0/default.jpg
4df1ec59-5e0d-5339-bb84-0377763f38c6,NL-HaNA_4.AANW_176,4.AANW,,176,,,,https://service.archief.nl/iipsrv?IIIF=/a3/0d/50/4f/47/88/4e/9e/a2/bf/d1/cb/a5/25/68/64/4ed12d7d-8576-4892-b1ba-19e6f62d49e8.jp2/full/full/0/default.jpg
76db34b3-8ac2-5353-9538-09ab91e6dd3c,NL-HaNA_4.AANW_57,4.AANW,,57,,,,https://service.archief.nl/iipsrv?IIIF=/f9/64/f5/62/98/00/43/b4/9c/ab/3f/e9/b4/05/69/db/d5f7a5d8-4255-44b1-8f0b-3362dddacb21.jp2/full/full/0/default.jpg
b2285210-7b9a-5f5a-b378-a492bf91846b,NL-HaNA_4.AKF_16A_P001,4.AKF,,16A,,P001,,https://service.archief.nl/iipsrv?IIIF=/1d/9b/8a/02/2e/fe/45/09/ad/0f/35/84/33/45/d2/99/154d6e18-2880-4c61-a2ce-8cbf789e75ef.jp2/full/full/0/default.jpg
e68e57af-3a37-5b0a-9527-baa9a0779126,NL-HaNA_4.AKF_2.10_0012,4.AKF,,2.1,,,,
bcaa791a-1b71-5f38-8dbf-6b02f576a2f9,NL-HaNA_4.AKF_2.11_0014,4.AKF,,2.11,,,,
c981f793-bc41-5f5b-b66b-c4a9ef0686ce,NL-HaNA_4.BMF_432.2,4.BMF,,432.2,,,,
71337831-5db7-588d-9143-3c6b3d6bddb5,NL-HaNA_4.BMF_435,4.BMF,,435,,,,https://service.archief.nl/iipsrv?IIIF=/19/2f/0c/55/3f/cc/4f/ff/af/d6/45/b0/3e/53/5d/4a/4cb41a93-ef88-4ed1-b6f2-db63e57d792a.jp2/full/full/0/default.jpg
59945771-03fc-5891-bcbe-6f6a1a0445e4,NL-HaNA_4.BMF_436,4.BMF,,436,,,,https://service.archief.nl/iipsrv?IIIF=/5e/36/29/da/15/8d/48/2d/b1/70/e9/76/51/64/bd/80/f732228d-b37a-4544-a365-a9c286c4daa9.jp2/full/full/0/default.jpg
a5604ae3-2649-5bb3-a7e9-befe0afee928,NL-HaNA_4.BMF_437_01,4.BMF,,437,,1,,https://service.archief.nl/iipsrv?IIIF=/04/a4/ec/2f/32/74/43/b7/96/82/58/74/8c/bd/5b/9f/7a918168-3221-4f0f-97c2-fef049ac71ed.jp2/full/full/0/default.jpg
af2c81cd-3aa7-5fdb-9ea0-5810340bc469,NL-HaNA_4.BMF_437_02,4.BMF,,437,,2,,https://service.archief.nl/iipsrv?IIIF=/04/a4/ec/2f/32/74/43/b7/96/82/58/74/8c/bd/5b/9f/496adc53-9359-4692-b232-6878f6008217.jp2/full/full/0/default.jpg
9133c28f-7ee5-58d0-850d-7d4d4366fbbd,NL-HaNA_4.BMF_452,4.BMF,,452,,,,https://service.archief.nl/iipsrv?IIIF=/d8/a6/49/c2/63/a0/4c/7d/9b/e3/98/56/6c/ea/9f/b5/2076ec94-c07e-4cc5-869f-632507df1ed1.jp2/full/full/0/default.jpg
0419d053-295a-5ed0-8c01-8b483095cdf5,NL-HaNA_4.BRF_228,4.BRF,,228,,,,https://service.archief.nl/iipsrv?IIIF=/d3/01/c3/ad/4b/12/4d/7c/8c/da/5f/8c/d0/90/0a/a8/1448b403-05f5-411d-b7c2-f9da85dfb8df.jp2/full/full/0/default.jpg
8c0ae3dd-ea64-522a-825a-9544f8a77c85,NL-HaNA_4.BRF_229,4.BRF,,229,,,,https://service.archief.nl/iipsrv?IIIF=/8d/f5/3c/c6/6e/b0/4a/b7/88/27/43/42/05/fa/83/b9/3a592e90-ab11-4952-ab64-d19558d31462.jp2/full/full/0/default.jpg
e3cad332-1ad7-518a-95af-dfb426be0d04,NL-HaNA_4.BRF_232,4.BRF,,232,,,,https://service.archief.nl/iipsrv?IIIF=/17/96/8f/a3/1d/ae/4a/c2/aa/df/5e/6f/d2/d7/c2/94/af86d99e-6ffe-4c29-8b58-0c4d4c55b07f.jp2/full/full/0/default.jpg
9f6890bb-b6b1-5222-9918-9b3c249cd195,NL-HaNA_4.BRF_233,4.BRF,,233,,,,https://service.archief.nl/iipsrv?IIIF=/4d/26/7d/9b/f4/7b/45/30/93/17/0b/6e/89/f8/60/fb/4400d12c-7bc1-4870-bdf7-68591ef4b927.jp2/full/full/0/default.jpg
b3a66476-44d4-5d07-b350-0dbc9c4f7828,NL-HaNA_4.BRF_234,4.BRF,,234,,,,
3c614f48-c84a-5964-b36e-99ebfec39ede,NL-HaNA_4.JSF_02_boven,4.JSF,,2,,boven,,
6b4bd04f-3155-5586-a667-c9f8c9cc5733,NL-HaNA_4.JSF_02_midden,4.JSF,,2,,midden,,
7c00cdc3-8dda-5d9c-bfd4-c5c06f4e7daa,NL-HaNA_4.JSF_02_onder,4.JSF,,2,,onder,,
890816ed-f61d-58a1-a6d6-041686aee16a,NL-HaNA_4.JSF_03,4.JSF,,3,,,,https://service.archief.nl/iipsrv?IIIF=/68/b8/85/37/0a/37/47/f9/8f/2e/b5/bd/7f/53/fe/e6/4a0edc27-29ac-43ed-a538-5c301b9e9afb.jp2/full/full/0/default.jpg
aec5dce5-464d-5d84-bb83-d0532852fd49,NL-HaNA_4.JSF_05_boven,4.JSF,,5,,boven,,
9dc58cc7-5ce7-5a81-96ac-36dcdaa21a3a,NL-HaNA_4.JSF_05_onder,4.JSF,,5,,onder,,
